21:11:21 INFO  manager.WebDrListener - Start searching element -----------> By.xpath: //*[.='Sign Out']
21:11:26 INFO  manager.WebDrListener - Element with locator -----------> By.xpath: //*[.='Sign Out']is found
21:11:26 INFO  manager.WebDrListener - Start searching element -----------> By.xpath: //*[.='LOGIN']
21:11:26 INFO  manager.WebDrListener - Element with locator -----------> By.xpath: //*[.='LOGIN']is found
21:11:26 INFO  manager.WebDrListener - Start searching element -----------> By.xpath: //input[1]
21:11:26 INFO  manager.WebDrListener - Element with locator -----------> By.xpath: //input[1]is found
21:11:26 INFO  manager.WebDrListener - Start searching element -----------> By.xpath: //input[2]
21:11:26 INFO  manager.WebDrListener - Element with locator -----------> By.xpath: //input[2]is found
21:11:26 INFO  manager.WebDrListener - Start searching element -----------> By.xpath: //button[1]
21:11:27 INFO  manager.WebDrListener - Element with locator -----------> By.xpath: //button[1]is found
21:11:30 INFO  manager.WebDrListener - Start searching element -----------> By.xpath: //button
21:11:30 INFO  manager.WebDrListener - Element with locator -----------> By.xpath: //buttonis found
